index,truth_path,ming_path,alex_path,alex_delta_to_rho,ming_log_mu,ming_log_sd,ming_ks,alex_log_mu,alex_log_sd,alex_ks,status,error
23,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/23.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/23.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_23_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.125461608171463,0.3004606068134308,0.22010000000000002,0.22318528592586517,0.3904694616794586,0.63422,ok,
24,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/24.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/24.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_24_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.11710570752620697,0.2907171845436096,0.21026000000000003,0.2075023204088211,0.3765752911567688,0.62516,ok,
25,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/25.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/25.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_25_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.11322297155857086,0.2978401184082031,0.20095999999999997,0.21685625612735748,0.3845985233783722,0.62958,ok,
26,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/26.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/26.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_26_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.1336059719324112,0.3065662980079651,0.23515999999999998,0.22710296511650085,0.3933722972869873,0.63588,ok,
27,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/27.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/27.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_27_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.10887321829795837,0.2930178940296173,0.20158000000000004,0.21307507157325745,0.38244861364364624,0.6277,ok,
28,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/28.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/28.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_28_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.11813227087259293,0.29478150606155396,0.22522000000000003,0.20442400872707367,0.3768116235733032,0.6222399999999999,ok,
29,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/29.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/29.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_29_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.10884185880422592,0.28954043984413147,0.2116,0.19604456424713135,0.3701459467411041,0.62124,ok,
30,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/30.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/30.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_30_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.11316538602113724,0.29086846113204956,0.21712000000000004,0.19917462766170502,0.3747958242893219,0.61324,ok,
31,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/31.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/31.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_31_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.13696157932281494,0.3073498010635376,0.24231999999999998,0.22779127955436707,0.39228731393814087,0.6357200000000001,ok,
32,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/32.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/32.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_32_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.13130363821983337,0.29588767886161804,0.23497999999999997,0.21537324786186218,0.38378775119781494,0.6299,ok,
